"Età","Sesso","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"89","Maschi","3","2","0","3","2","10","6","7","9","5"
"89","Femmine","10","10","9","11","10","8","11","10","18","18"
"89","Totale","13","12","9","14","12","18","17","17","27","23"
"90","Maschi","4","2","1","0","1","2","8","6","5","8"
"90","Femmine","2","9","9","9","9","8","8","10","7","14"
"90","Totale","6","11","10","9","10","10","16","16","12","22"
"91","Maschi","2","0","2","1","0","1","2","6","6","5"
"91","Femmine","10","2","9","9","7","6","5","6","9","10"
"91","Totale","12","2","11","10","7","7","7","12","15","15"
"92","Maschi","1","1","0","2","1","0","1","2","6","4"
"92","Femmine","4","9","1","7","7","8","3","4","5","5"
"92","Totale","5","10","1","9","8","8","4","6","11","9"
"93","Maschi","1","1","0","0","1","0","0","0","1","5"
"93","Femmine","5","1","6","1","6","6","6","3","2","5"
"93","Totale","6","2","6","1","7","6","6","3","3","10"
"94","Maschi","1","0","1","0","0","1","0","0","0","1"
"94","Femmine","6","4","1","5","0","5","4","4","1","2"
"94","Totale","7","4","2","5","0","6","4","4","1","3"
"95","Maschi","0","0","0","1","0","0","0","0","0","0"
"95","Femmine","2","4","2","1","4","0","4","3","1","1"
"95","Totale","2","4","2","2","4","0","4","3","1","1"
"96","Maschi","1","0","0","0","1","0","0","0","0","0"
"96","Femmine","1","2","2","1","1","2","0","3","4","1"
"96","Totale","2","2","2","1","2","2","0","3","4","1"
"97","Maschi","0","1","0","0","0","1","0","0","0","0"
"97","Femmine","1","1","1","2","0","1","0","0","1","3"
"97","Totale","1","2","1","2","0","2","0","0","1","3"
"98","Maschi","0","0","0","0","0","0","0","0","0","1"
"98","Femmine","1","0","1","1","1","0","1","0","0","1"
"98","Totale","1","0","1","1","1","0","1","0","0","2"
"99","Maschi","0","0","0","0","0","0","0","0","0","0"
"99","Femmine","1","0","0","1","1","1","0","1","0","0"
"99","Totale","1","0","0","1","1","1","0","1","0","0"
"100 e oltre","Maschi","0","0","0","0","0","0","0","0","0","0"
"100 e oltre","Femmine","0","1","1","0","0","1","0","0","1","0"
"100 e oltre","Totale","0","1","1","0","0","1","0","0","1","0"
"Totale","Maschi","5092","5042","5056","5031","5067","5076","5112","5116","5076","5104"
"Totale","Femmine","5492","5518","5516","5490","5487","5513","5507","5500","5470","5508"
"Totale","Totale","10584","10560","10572","10521","10554","10589","10619","10616","10546","10612"
